Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Feiertag,Ferien
2013-07-01,1,148.828353112183,NA,6,17.8375,15,20,NA,Sommerferien
2013-07-02,1,159.79375714468,NA,3,17.3125,10,NA,NA,Sommerferien
2013-07-03,1,111.885593514353,NA,7,21.075,6,61,NA,Sommerferien
2013-07-04,1,168.864940979931,NA,7,18.85,7,20,NA,Sommerferien
2013-07-05,1,171.280754117955,NA,5,19.975,12,NA,NA,Sommerferien
2013-07-06,1,174.552359998476,NA,0,18.9625,8,NA,NA,Sommerferien
2013-07-07,1,92.6377553788373,NA,0,21.375,9,NA,NA,Sommerferien
2013-07-08,1,135.500244042392,NA,0,22.725,10,5,NA,Sommerferien
2013-07-09,1,136.048382778344,NA,0,23.275,8,NA,NA,Sommerferien
2013-07-10,1,135.132314289581,NA,2,19.6875,13,5,NA,Sommerferien
2013-07-11,1,138.549392636714,NA,0,21.375,12,5,NA,Sommerferien
2013-07-12,1,101.447511461298,NA,0,20.2875,7,NA,NA,Sommerferien
2013-07-13,1,141.233309883732,NA,1,20.125,12,NA,NA,Sommerferien
2013-07-14,1,112.524365708762,NA,5,17.6875,15,5,NA,Sommerferien
2013-07-15,1,161.264677322182,NA,6,18.7375,12,NA,NA,Sommerferien
2013-07-16,1,116.821358174215,NA,1,21.1875,10,NA,NA,Sommerferien
2013-07-17,1,150.572919592838,NA,5,22.5125,8,NA,NA,Sommerferien
2013-07-18,1,101.90072129658,NA,1,23.25,11,5,NA,Sommerferien
2013-07-19,1,161.63511518654,NA,3,22.475,16,5,NA,Sommerferien
2013-07-20,1,134.328076682024,NA,0,23.1875,8,NA,NA,Sommerferien
2013-07-21,1,66.2887578161955,NA,0,26.375,8,NA,NA,Sommerferien
2013-07-22,1,131.223948997842,NA,0,26.1,9,NA,NA,Sommerferien
2013-07-23,1,110.315246796665,NA,0,24.95,12,NA,NA,Sommerferien
2013-07-24,1,141.891908195545,NA,3,24.075,11,NA,NA,Sommerferien
2013-07-25,1,167.701216640907,NA,2,23.0875,9,NA,NA,Sommerferien
2013-07-26,1,147.272084366206,NA,3,27.2625,6,NA,NA,Sommerferien
2013-07-27,1,161.403357795112,NA,1,26.1625,10,NA,NA,Sommerferien
2013-07-28,1,86.0791432446654,NA,4,24.8875,13,61,NA,Sommerferien
2013-07-29,1,183.564164400591,NA,1,22.7875,10,NA,NA,Sommerferien
2013-07-30,1,132.111640117897,NA,5,21.075,13,21,NA,Sommerferien
2013-07-31,1,144.745431773143,NA,5,20.275,16,65,NA,Sommerferien
2013-08-01,1,157.854023011106,NA,6,23.4,7,21,NA,Sommerferien
2013-08-02,1,117.359342094889,NA,0,31.4375,7,NA,NA,Sommerferien
2013-08-03,1,186.027178770079,NA,4,23.3625,11,63,NA,Sommerferien
2013-08-04,1,104.708216687715,NA,3,23.05,8,NA,NA,NA
2013-08-05,1,146.775309890073,NA,0,25.8,10,NA,NA,NA
2013-08-06,1,131.956277381283,NA,5,22.225,13,NA,NA,NA
2013-08-07,1,160.593417296116,NA,4,19.2125,8,NA,NA,NA
2013-08-08,1,153.099424561652,NA,7,16.975,12,20,NA,NA
2013-08-09,1,125.620344387906,NA,4,20.3375,10,21,NA,NA
2013-08-10,1,185.177162656408,NA,7,19.3625,12,61,NA,NA
2013-08-11,1,73.2088330039992,NA,7,16.3875,9,61,NA,NA
2013-08-12,1,154.504729536697,NA,7,16.45,11,63,NA,NA
2013-08-13,1,134.064451548102,NA,3,16.4,16,95,NA,NA
2013-08-14,1,156.972510536869,NA,4,18.2625,18,61,NA,NA
2013-08-15,1,164.763795399756,NA,3,19.8,8,NA,NA,NA
2013-08-16,1,147.79799759804,NA,4,23.575,11,0,NA,NA
2013-08-17,1,221.630418006017,NA,6,20.55,7,0,NA,NA
2013-08-18,1,92.489778506026,NA,7,18.5875,10,63,NA,NA
2013-08-19,1,145.87913275728,NA,5,18.4875,8,NA,NA,NA
2013-08-20,1,111.842396126739,NA,7,17.775,8,61,NA,NA
2013-08-21,1,125.336522713024,NA,5,20.125,8,NA,NA,NA
2013-08-22,1,132.916428220302,NA,4,21.6625,8,NA,NA,NA
2013-08-23,1,162.958958703106,NA,1,22.0375,14,NA,NA,NA
2013-08-24,1,201.543109556297,NA,0,20.85,16,5,NA,NA
2013-08-25,1,83.0226725739551,NA,0,21.3875,16,5,NA,NA
2013-08-26,1,165.829031676714,NA,0,20.125,15,5,NA,NA
2013-08-27,1,118.473650434102,NA,1,21.0875,12,NA,NA,NA
2013-08-28,1,108.876991442649,NA,0,21.3,7,NA,NA,NA
2013-08-29,1,178.178023803315,NA,3,20.2125,11,NA,NA,NA
2013-08-30,1,133.150828452892,NA,6,19.7875,8,5,NA,NA
2013-08-31,1,130.821314898435,NA,5,18.35,16,21,NA,NA
2013-09-01,1,95.9704314892471,NA,7,15.8625,16,61,NA,NA
2013-09-02,1,138.408723210465,NA,7,16.575,17,63,NA,NA
2013-09-03,1,138.825618927843,NA,7,18.225,11,21,NA,NA
2013-09-04,1,100.221969526295,NA,7,18.125,5,NA,NA,NA
2013-09-05,1,173.658100347255,NA,0,21.7,8,NA,NA,NA
2013-09-06,1,171.415179710314,NA,0,24.7,9,NA,NA,NA
2013-09-07,1,186.034060963767,NA,6,22.7625,7,NA,NA,NA
2013-09-08,1,88.8925958109828,NA,7,20.1625,8,61,NA,NA
2013-09-09,1,169.359968504942,NA,8,11.575,11,63,NA,NA
2013-09-10,1,89.6944536084346,NA,6,13.5875,11,65,NA,NA
2013-09-11,1,103.363686559795,NA,6,13.9,8,61,NA,NA
2013-09-12,1,106.474399987548,NA,6,16.1125,6,61,NA,NA
2013-09-13,1,122.564626199915,NA,6,17.4375,5,21,NA,NA
2013-09-14,1,174.938807466572,NA,5,17.625,10,63,NA,NA
2013-09-15,1,55.1960062296304,NA,7,14.8625,10,21,NA,NA
2013-09-16,1,146.760234890658,NA,3,13.1375,13,21,NA,NA
2013-09-17,1,136.118044538363,NA,5,13.1375,10,63,NA,NA
2013-09-18,1,152.255085210606,NA,4,13.05,9,NA,NA,NA
2013-09-19,1,148.674992078993,NA,5,14.8375,11,63,NA,NA
2013-09-20,1,110.159250328825,NA,7,13.525,6,NA,NA,NA
2013-09-21,1,178.263887943827,NA,7,15.35,9,NA,NA,NA
2013-09-22,1,86.6668973821597,NA,6,17.1375,14,21,NA,NA
2013-09-23,1,111.128410563554,NA,7,17.3125,14,21,NA,NA
2013-09-24,1,139.64144576808,NA,8,15.7375,10,NA,NA,NA
2013-09-25,1,117.94119333604,NA,6,13.5375,7,61,NA,NA
2013-09-26,1,203.314345156607,NA,1,12.9875,12,NA,NA,NA
2013-09-27,1,135.507291692088,NA,5,13.0125,8,21,NA,NA
2013-09-28,1,134.613756840197,NA,0,13.1,8,NA,NA,NA
2013-09-29,1,68.6316896995448,NA,3,14.175,12,NA,NA,NA
2013-09-30,1,156.502435955326,NA,1,12.825,14,NA,NA,NA
2013-10-01,1,123.397540137977,NA,0,12.9125,13,5,NA,NA
2013-10-02,1,196.720969158391,NA,1,12.7,10,NA,NA,NA
2013-10-03,1,75.2337302417469,NA,0,11.7625,12,5,Tag der deutschen Einheit,NA
2013-10-04,1,156.066122625816,NA,5,11.2,8,63,NA,Herbstferien
2013-10-05,1,152.280762053885,NA,7,15.575,8,20,NA,Herbstferien
2013-10-06,1,92.4805772695364,NA,7,15.25,6,NA,NA,Herbstferien
2013-10-07,1,124.841544023845,NA,1,16.275,7,NA,NA,Herbstferien
2013-10-08,1,96.867100978839,NA,6,15.1125,8,61,NA,Herbstferien
2013-10-09,1,149.761758936995,NA,7,14.3125,10,21,NA,Herbstferien
2013-10-10,1,119.300284972145,NA,5,10.975,6,NA,NA,Herbstferien
2013-10-11,1,123.2348187168,NA,7,13.8625,20,10,NA,Herbstferien
2013-10-12,1,140.262421715801,NA,8,13.025,21,63,NA,Herbstferien
2013-10-13,1,42.9967926268111,NA,5,10.8625,5,NA,NA,Herbstferien
2013-10-14,1,109.863744271226,NA,2,12.525,6,NA,NA,Herbstferien
2013-10-15,1,130.431802598324,NA,7,10.6625,4,63,NA,Herbstferien
2013-10-16,1,146.070583461057,NA,8,12.275,7,NA,NA,Herbstferien
2013-10-17,1,89.9411837855476,NA,7,12,15,65,NA,Herbstferien
2013-10-18,1,111.233698203856,NA,1,9.075,9,NA,NA,Herbstferien
2013-10-19,1,121.590860465012,NA,7,9.45,9,NA,NA,NA
2013-10-20,1,70.1419855298474,NA,7,15.1875,8,21,NA,NA
2013-10-21,1,122.987868193302,NA,7,14.2625,8,61,NA,NA
2013-10-22,1,111.927088663048,NA,2,17.6375,7,NA,NA,NA
2013-10-23,1,125.816016210178,NA,6,17.675,9,NA,NA,NA
2013-10-24,1,123.163406361057,NA,5,12.6875,12,61,NA,NA
2013-10-25,1,113.661858634409,NA,7,11.8875,7,61,NA,NA
2013-10-26,1,161.678805315967,NA,5,16.775,10,21,NA,NA
2013-10-27,1,102.355195816072,NA,6,14.9875,16,65,NA,NA
2013-10-28,1,129.482192717092,NA,7,14.3625,29,63,NA,NA
2013-10-29,1,112.285893935052,NA,7,10.775,17,63,NA,NA
2013-10-30,1,121.506077008915,NA,6,10.4375,10,61,NA,NA
2013-10-31,1,133.723541287582,NA,5,11.1625,13,21,Reformationstag,NA
2013-11-01,1,100.182160485504,NA,8,10.625,9,63,NA,NA
2013-11-02,1,149.172348030766,NA,8,8.8875,3,63,NA,NA
2013-11-03,1,97.4532740046654,NA,6,10.7,15,21,NA,NA
2013-11-04,1,137.864260444157,NA,7,6.8375,7,63,NA,NA
2013-11-05,1,103.700267261952,NA,4,8.9,12,61,NA,NA
2013-11-06,1,109.097001107423,NA,4,8.1375,12,63,NA,NA
2013-11-07,1,118.470603286455,NA,6,9.5,10,61,NA,NA
2013-11-08,1,132.796244239256,NA,3,9.325,9,NA,NA,NA
2013-11-09,1,99.9317959514759,NA,5,7.7,16,63,NA,NA
